"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
220;"Anagallis arvensis ";"PRIM";"Scarlet Pimpernel";"Anagallis arvensis ";"Invasive";"not listed";"not listed";"Annual, much branched; prostrate to suberect, hairless; stems square, flowers blue, starlike, solitary, petals hairless, narrow, stamens with hairs coloured white, pink or purple";"Open places on flats and lower slopes; frequent"
221;"Anagallis foemina ";"PRIM";"Blue Pimpernel";"Anagallis foemina ";"Invasive";"not listed";"not listed";"Annual, much branched; prostrate to suberect; stems square, flowers pale scarlet or pink or purple, with a red band at the petal base, starlike, solitary, petals fringed; stamen hairs coloured red or purple";"Open places on flats and lower slopes; common"
222;"Anredera cordifolia ";"BASE";"Madeira Vine";"Anredera cordifolia ";"Invasive";"1b";"not listed";"Aerial tubers in leaf axils; minute, white flowers born in large sprays, fragrant";"Not recorded in 1950"
223;"Anthemis cotula ";"ASTE";"Dog Fennel";"Anthemis cotula ";"Invasive";"not listed";"not listed";"Biennial; sickly smell; stems slightly hairy; leaf feathery; flowerheads solitary, daisy, disc yellow, rays white; bracts white with green midrib";"Waste areas; occasional; Green Point, Camps Bay, Newlands, Hout Bay"
224;"Anthoxanthum odoratum ";"POAC";"Sweet Vernal Grass";"Anthoxanthum odoratum ";"Invasive";"not listed";"not listed";"Coumarin-scented; spikelets densely hairy; lemma 3mm long";"Humic soils in moist areas; locally common, localized; Kirstenbosch and Newlands"
225;"Antirrhinum orontium ";"SCRO";"Lesser Snapdragon";"Antirrhinum orontium ";"Invasive";"not listed";"not listed";"Annual, erect, short, downy, Leaves linear, downy; flowers pink-purple, pouched, stalk short, sepals narrow, as long as petals, petals without spur;  ";"Mountain slopes; occasional; Lions Head to Kirstenbosch"
226;"Apium graveolens ";"APIA";"Celery";"Apium graveolens ";"Invasive";"not listed";"not listed";"Biennial; leaf hairless, celery scented, shiny, large toothed; flowers in white umbels, no bracts";"Very local in ditches on the Cape Flats; occasional; Retreat, Rondevlei and Crawford"
227;"Araujia  sericifera";"APOC";"Moth Catcher";"Araujia  sericifera";"Invasive";"1b";"not listed";"Flowers with white Milkweed centres, fruit spongy with silky-haired seeds";"Not recorded in 1950"
9;"Argemone mexicana forma mexicana";"PAPA";"Yellow Mexican Poppy";"Argemone mexicana forma mexicana";"Invasive";"1b";"not listed";"Annual, milky yellow juice; taproot stout, long; leaf green to purple, with sharply spiny, easily detached teeth, usually hairless; flower bright yellow; fruit prickly, ovoid, opening at top";"Not recorded in 1950, mapped by Bromilow; disturbed and cultivate land; occasional"
228;"Argemone ochroleuca subsp. ochroleuca";"PAPA";"White Mexican Poppy";"Argemone ochroleuca subsp. ochroleuca";"Invasive";"1b";"not listed";"Annual, milky bright yellow juice; taproot stout, long; leaf purple, with sharply spiny, easily detached teeth, usually hairless; flower very pale yellow;  fruit prickly, oblong, opening at top";"Disturbed and cultivate areas; occasional; Proclaimed noxious weed; was A. subfusiformis"
229;"Aristolochia littoralis ";"ARIS";"Dutchmans Pipe";"Aristolochia littoralis ";"Invasive";"not listed";"not listed";"Leaves heart-kidney shaped, with veins from base; flowers large maroon ""pipes"", fruit six ribbed ";"Not recorded in 1950"
230;"Arrhenatherum elatius ";"POAC";"Tall Catgrass";"Arrhenatherum elatius ";"Invasive";"not listed";"not listed";"Panicle with unequal branches";"Disturbed areas, infrequent"
231;"Arundo donax ";"POAC";"Giant Reed";"Arundo donax ";"Invasive";"1b";"not listed";"Robust bamboo-like reed; leaf sheaths persistent; leaf bases broad (beware: Phragmites has straight culms and narrow leaf bases)";"Rivers and vleis, locally common, infrequent"
233;"Atriplex lindleyi subsp. inflata";"CHEN";"Sponge-fruit Saltbush";"Atriplex lindleyi subsp. inflata";"Invasive";"1b";"not listed";"Perennial; leaves silver grey; fruit spongy inflated utricles";"Not recorded in 1950"
36;"Atriplex muelleri";"CHEN";"Annual Saltbush";"Atriplex muelleri";"Invasive";"not listed";"not listed";"Erect-spreading annual; leaves obovate, to 50mm long; flowers axillary; fruiting bracts subglobose; capsules fan-shaped, flattened";"Roadside, waste ground, near the sea; less common inland in natural vegetation"
234;"Atriplex nummularia subsp. nummularia";"CHEN";"Old Man Saltbush";"Atriplex nummularia subsp. nummularia";"Invasive";2;"not listed";"Stems creamy white; leaves grey, salty taste, elliptic to circular; fruit papery or corky";"Not recorded in 1950"
236;"Avena barbata ";"POAC";"Slender Wild Oats";"Avena barbata ";"Invasive";"not listed";"not listed";"Robust annual, tufted; spikelets white-straw hairs, pendulous; awns long";"Sandy soil, disturbed areas and roadsides, common, less so in natural vegetation"
237;"Avena fatua ";"POAC";"Common Wild Oats";"Avena fatua ";"Invasive";"not listed";"not listed";"Robust annual, tufted; spikelets brown hairs, pendulous; awns long";"Sandy soil, disturbed areas and roadsides, locally dominant"
238;"Avena sativa ";"POAC";"Common Oats";"Avena sativa ";"Invasive";"not listed";"not listed";"Robust annual, tufted; spikelets hairless, pendulous; awns long";"Disturbed areas and roadsides, stray from cultivated, not truly naturalized; locally dominant"
239;"Avena sterilis subsp. ludoviciana";"POAC";"Winter Wild Oats";"Avena sterilis subsp. ludoviciana";"Invasive";"not listed";"not listed";"Robust annual, tufted; spikelets usually hairy on lemma, lemma tips with .5mm long teeth, pendulous; awns long; ligule 3mm long; up to 3 florets";"Sandy soil, disturbed areas, common"
240;"Avena sterilis subsp. sterilis";"POAC";"Tall Wild Oats";"Avena sterilis subsp. sterilis";"Invasive";"not listed";"not listed";"Robust annual, tufted; spikelets usually hairy on lemma, lemma tips with .5mm long teeth, pendulous; awns long; ligule 5-6mm long; up to 5 florets";"Sandy soil, disturbed areas, common"
241;"Azolla filiculoides ";"AZOL";"Red Water Fern";"Azolla filiculoides ";"Invasive";"1b";"not listed";"Floating, minute, circular leaves with unbranched roots below";"Rivers and vleis locally abundant"
16;"Bambusa balcooa";"POAC";"Bamboo";"Bambusa balcooa";"Invasive";"not listed";"not listed";"Rhizomatous, bamboo-like, 15-21m tall; grows in dense clumps;";"Not recorded in 1950"
242;"Barbarea verna ";"BRAS";"American Cress";"Barbarea verna ";"Invasive";"not listed";"not listed";"Perennial, hairless; flowers 4-cross, yellow, buds hairless, pods long, stiffly erect";"Damp, sheltered areas; very local; Newlands and Kirstenbosch"
618;"Barbarea vulgaris var. arcuata";"BRAS";"Yellow Rocket";"Barbarea vulgaris var. arcuata";"Invasive";"not listed";"not listed";"Annual or biennial; leaves in basal rosette leaves; flower stalk hairless, green to reddish, branched into secondary stalks; flowers 4-cross, yellow in racemes.";"Tafelberg Road"
243;"Beta vulgaris ";"CHEN";"Beetroot";"Beta vulgaris ";"Invasive";"not listed";"not listed";"Sprawling, red tinged, hairless; leaf dark green, leathery;  flowerheads with bracts at right angles; petals thick; stamens on a fleshy disc";"Damp rocks near the sea; Sea Point"
244;"Betula alba";"ULMA";"White Birch";"Betula alba";"Invasive";"not listed";"not listed";"Bark shiny red-brown aging to pinkish white with horizontal dark bands; stems with raised white warts; male catkins on branch ends, female flowers 6 on branched stalk below males; fruit gherkin-shaped, turning brown and breaking up after a few months";"In 1950 under plantations on Back Table"
245;"Bidens pilosa ";"ASTE";"Common Blackjack";"Bidens pilosa ";"Invasive";"not listed";"not listed";"Annuals; stems striate, green or with brown stripes; leaves 3-5 leaflets; seeds with terminal hooks";"Locally frequent"
