"species"
"Crassula coccinea"
"Crassula cymosa"
"Crassula dichotoma"
"Crassula ericoides"
"Crassula fallax"
"Crassula fascicularis"
"Crassula flava"
"Crassula glomerata"
"Crassula pruinosa"
"Crassula scabra"
"Crassula sebaeoides"
"Crassula strigosa"
"Crassula umbellata"
"Crinum asiaticum"
"Crossyne guttata"
"Crotalaria barnabassii"
"Crotalaria capensis"
"Crotalaria humilis"
"Crotalaria laburnifolia"
"Croton rivularis"
"Cryptomeria japonica"
"Cullen tomentosum"
"Cullumia squarrosa"
"Cunonia capensis"
"Curio crassulifolius"
"Curtisia dentata"
"Cuscuta appendiculata"
"Cuscuta cassytoides"
"Cuscuta nitida"
"Cussonia thyrsiflora"
"Cyanella hyacinthoides"
"Cyanella lutea"
"Cyathocoma hexandra"
"Cyclopia buxifolia"
"Cyclopia galioides"
"Cyclopia genistoides"
"Cyclopia latifolia"
"Cyclopia maculata"
"Cyclopia sessiliflora"
"Cyclosorus interruptus"
"Cyclospermum leptophyllum"
"Cymbopogon caesius"
"Cymbopogon marginatus"
"Cymbopogon pospischilii"
"Cynanchum africanum"
"Cynanchum obtusifolium"
"Cynanchum zeyheri"
"Cynodon dactylon"
"Cynodon transvaalensis"
"Cynosurus echinatus"
"Cyperus congestus"
"Cyperus laevigatus"
"Cyperus mundii"
"Cyperus nitidus"
"Cyperus sphaerospermus"
"Cyperus textilis"
"Cyperus thunbergii"
"Cyphia phyteuma"
"Cyphostemma hypoleucum"
"Cyrtanthus ventricosus"
"Cysticapnos cracca"
"Cytinus capensis"
"Cytinus sanguineus"
"Cytisus proliferus"
"Dais cotinifolia"
"Dasispermum capense"
"Dasispermum hispidum"
"Dasispermum perennans"
"Dasispermum suffruticosum"
"Datura stramonium"
"Delosperma asperulum"
"Dendroconche scandens"
"Dianthus albens"
"Dianthus basuticus"
"Dianthus holopetalus"
"Diascia capsularis"
"Diascia diffusa"
"Diascia elongata"
"Diastella proteoides"
"Dicksonia antarctica"
"Dicoma schinzii"
"Dierama argyreum"
"Dierama mossii"
"Digitaria abyssinica"
"Digitaria debilis"
"Digitaria diversinervis"
"Digitaria eriantha"
"Digitaria sanguinalis"
"Dilatris corymbosa"
"Dilatris pillansii"
"Dilatris viscosa"
"Dimorphotheca pluvialis"
